Candidates,Group
Harvard University: USA,1
Princeton University: USA,1
Stanford University: USA,1
University of California: Berkeley: USA,1
Yale University: USA,1
Cornell University: USA,1
University of California: Los Angeles: USA,1
Massachusetts Institute of Technology: USA,2
University of Cambridge: UK,1
California Institute of Technology: USA,1
University of Oxford: UK,1
Columbia University: USA,1
University of Southern California: USA,2
University of British Columbia: Canada,2
University of Wisconsin-Madison: USA,2
Peking University: China,2
Northwestern University: USA,2
University of Pennsylvania: USA,1
Carnegie Mellon University: USA,1
University of Chicago: USA,2
University of California: San Diego: USA,1
ETH Z√ºrich °°?Swiss Federal Institute of Technology Z√ºrich: Switzerland,2
University of Michigan: USA,1
Brown University: USA,2
New York University: USA,1
Johns Hopkins University: USA,1
Georgia Institute of Technology: USA,2
Imperial College London: UK,2
University of Washington: USA,2
University of Toronto: Canada,2
University of California: Santa Barbara: USA,2
Duke University: USA,2
University of Tokyo: Japan,2
The University of Hong Kong: Hong Kong,2
Purdue University: USA,2
University of Texas at Austin: USA,2
University of Pittsburgh: USA,3
Dartmouth College: USA,2
University of California: Irvine: USA,2
Boston College: USA,4
University of California: Santa Cruz: USA,2
University of California: Davis: USA,2
Tsinghua University: China,2
University of Maryland: College Park: USA,2
London School of Economics and Political Science: UK,2
Boston University: USA,2
University of Rochester: USA,3
University of Florida: USA,4
Stony Brook University: USA,3
Hong Kong University of Science and Technology: Hong Kong,2
University of Victoria: Canada,4
University College London: UK,2
University of North Carolina at Chapel Hill: USA,3
Rice University: USA,2
Kyoto University: Japan,4
McGill University: Canada,4
University of Sydney: Australia,4
University of Illinois at Urbana Champaign: USA,3
Rensselaer Polytechnic Institute: USA,4
Emory University: USA,4
Universit√§t Heidelberg: Germany,4
Nanyang Technological University: Singpapore,4
°°cole Polytechnique: France,4
University of California: Riverside: USA,4
Pennsylvania State University: USA,4
Washington University in St Louis: USA,4
National University of Singapore: Singapore,4
Technische Universit√§t M√ºnchen: Germany,4
University of Copenhagen: Denmark,4
University of Manchester: UK,4
Georgetown University: USA,4
University of Virginia: USA,4
Ohio State University: USA,4
Chinese University of Hong Kong: Hong Kong,4
Fudan University: China,4
Universit√© de Lausanne: Switzerland,4
°°cole Polytechnique F√©d√©rale de Lausanne: Switzerland,4
George Washington University: USA,4
King's College London: UK,4
City University of Hong Kong: Hong Kong,4
University of Geneva: Switzerland,4
Tongji University: China,4
Universit√© Paris-Sud: France,4
Renmin University of China,4
Michigan State University: USA,4
University of Warwick: UK,4
Rutgers: The State University of New Jersey: USA,4
Australian National University: Australia,4
Shanghai Jiaotong University: China,4
National Central University: Taiwan,4
Ludwig-Maximilians-Universit√§t M√ºnchen: Germany,4
Indiana University: USA,4
Tokyo Institute of Technology: Japan,4
Hong Kong Polytechnic University,4
Tufts University: USA,4
University of Bern: Switzerland,4
Nankai University: China,4
National Taiwan University: Taiwan,4
University of Minnesota: USA,4
University of Arizona: USA,4
University of Z√ºrich: Switzerland,4
University of Edinburgh: UK,4
Arizona State University: USA,4
University of Science and Technology of China,4
University of Massachusetts: USA,4
Zhejiang University: China,4
Stockholm University: Sweden,4
University of Delaware: USA,4
University of York: UK,4
Nanjing University: China,4
University of Notre Dame: USA,4
KTH Royal Institute of Technology: Sweden,4
University of Nottingham: UK,4
Lancaster University: UK,4
Birkbeck: University of London: UK,4
Universit√§t Bonn: Germany,4
University of Illinois at Chicago: USA,4
University of Liverpool: UK,4
Xiamen University: China,4
University of Chinese Academy of Sciences,4
Iowa State University: USA,4
Vanderbilt University: USA,4
University of Iowa: USA,4
°°cole Normale Sup√©rieure: France,4
Technical University of Denmark: Denmark,4
University of Electronic Science and Technology: China,4
University of Vienna: Austria,4
University of East Anglia: UK,6
University of Birmingham: UK,4
Texas A&M University: USA,4
University of Alberta: Canada,4
Universit√© Paris Diderot - Paris 7: France,4
°°cole Normale Sup√©rieure de Lyon: France,4
South China University of Technology: China,6
University of Ottawa: Canada,4
University of Melbourne: Australia,4
Humboldt-Universit√§t zu Berlin: Germany,4
Newcastle University: UK,4
University at Buffalo: USA,4
University of Miami: USA,6
University of Science and Technology Beijing: China,6
University of Leicester: UK,6
Queen Mary: University of London: UK,5
William & Mary: USA,6
Durham University: UK,4
Tianjin University: China,4
University of Amsterdam: Netherlands,6
The University of Texas at Dallas: USA,4
University of Groningen: Netherlands,5
Tel Aviv University: Israel,4
Harbin Institute of Technology: China,5
University of Utah: USA,4
University of Helsinki: Finland,6
University of Montreal: Canada,4
University of New South Wales: Australia,4
Case Western Reserve University: USA,4
Wuhan University: China,6
Albert-Ludwigs-Universit√§t Freiburg: Germany,7
National Tsing Hua University: Taiwan,6
University of Colorado Boulder: USA,4
Royal Holloway: University of London: UK,5
Chongqing University: China,6
Beijing Institute of Technology: China,7
Beijing Normal University: China,6
Beijing University of Aeronautics and Astronautics: China,7
Universit√© Joseph Fourier: Grenoble: France,6
University of Bristol: UK,7
Georg-August-Universit√§t G√∂ttingen: Germany,4
Southeast University: China,6
Johann Wolfgang Goethe-Universit√§t Frankfurt am Main: Germany,6
University of Exeter: UK,5
Karlsruhe Institute of Technology: Germany,7
Monash University: Australia,6
University of Western Australia: Australia,6
Osaka University: Japan,6
Hebrew University of Jerusalem: Israel,6
Tohoku University: Japan,6
RWTH Aachen University: Germany,6
Uppsala University: Sweden,6
University of Leeds: UK,6
Leiden University: Netherlands,6
University of St Andrews: UK,6
University of Adelaide: Australia,6
Colorado School of Mines: USA,6
Technion Israel Institute of Technology: Israel,6
McMaster University: Canada,7
University of Queensland Australia: Australia,6
Xi'an Jiaotong University: China,6
Shanghai University of Finance and Economics: China,8
Delft University of Technology: Netherlands,7
National Taiwan Normal University: Taiwan,4
Maastricht University: Netherlands,6
University of S√£o Paulo: Brazil,7
Nanjing University of Science and Technology: China,8
Beijing University of Posts and Telecommunications: China,6
University of Southampton: UK,6
University of Sussex: UK,6
Hong Kong Baptist University,7
National Chiao Tung University: Taiwan,7
Universit√§t Basel: Switzerland,7
Ocean University of China: China,7
Beijing Jiaotong University: China,7
Huazhong University of Science and Technology: China,7
Karolinska Institute: Sweden,7
University of International Business and Economics: China,7
Northeastern University: China,7
Freie Universit√§t Berlin: Germany,7
Jilin University: China,7
University of Glasgow: UK,6
Seoul National University: Republic of Korea,7
National Sun Yat-Sen University: Taiwan,7
Lingnan University: Hong Kong,6
Wake Forest University: USA,7
Southwestern University of Finance and Economics: China,7
Hunan University: China,9
VU University Amsterdam: Netherlands,8
Lund University: Sweden,7
University of Auckland: New Zealand,6
University of Sheffield: UK,7
Universit√© Pierre et Marie Curie: France,6
National Taiwan University of Science and Technology: Taiwan,8
Eindhoven University of Technology: Netherlands,8
East China Normal University: China,7
Trinity College Dublin: Republic of Ireland,6
Central South University: China,8
Beijing Foreign Studies University: China,8
Shanghai International Studies University: China,8
China University of Political Science and Law: China,7
University of Reading: UK,8
East China University Of Science and Technology: China,8
Nanjing University of Aeronautics and Astronautics: China,8
Sichuan University: China,8
Beijing Language and Culture University: China,8
Northwestern Polytechnical University: China,8
Universit√© Catholique de Louvain: Belgium,8
KU Leuven: Belgium,8
National Chengchi University: Taiwan,7
Utrecht University: Netherlands,6
Ghent University: Belgium,8
Wageningen University and Research Center: Netherlands,8
Medical University of South Carolina: USA,7
Shandong University: China,8
University of Antwerp: Belgium,7
Dalian University of Technology: China,8
Aarhus University: Denmark,8
Radboud University Nijmegen: Netherlands,7
Central University of Finance and Economics: China,8
Korea Advanced Institute of Science and Technology: Republic of Korea,7
University College Dublin: Republic of Ireland,8
University of Aberdeen: UK,8
Yeshiva University: USA,8
Pohang University of Science and Technology: Republic of Korea,8
Erasmus University Rotterdam: Netherlands,7
University of Macau: China,8
China Agricultural University: China,9
National Cheng Kung University: Taiwan,8
University of Cape Town: South Africa,10
Sun Yat-Sen University: China,8
Beijing Forestry University: China,9
Yonsei University: Republic of Korea,10
University of Twente: Netherlands,8
